festival_wikidata_id,festival_name,festival_type,destination_wikidata_id,destination_name,start_date,end_date,inception
Q20104769,Q20104769,festival,Q29,Spain,,,
Q20103961,Q20103961,festival,Q29,Spain,2005-01-01T00:00:00Z,2016-01-01T00:00:00Z,
Q8961627,Festes d'Hivern-Enfarinats,festival,Q29,Spain,,,
Q12620053,Chuncheon International Mime Festival,festival,Q884,South Korea,,,
Q12793293,Kamfest,festival,Q215,Slovenia,,,
Q11921895,Q11921895,festival,Q29,Spain,,,
Q17299707,Hondarribiko Alardea,festival,Q29,Spain,,,
Q3045527,Día del Blusa,festival,Q29,Spain,,,
Q20104455,"Meeting of Giants, Grallers and Correfocs of Borges Blanques",festival,Q29,Spain,,,
Q20104331,Q20104331,festival,Q29,Spain,,,
Q555896,World Architecture Festival,festival,Q29,Spain,,,2008-01-01T00:00:00Z
Q8961229,FiraTàrrega,festival,Q29,Spain,1981-01-01T00:00:00Z,,1981-01-01T00:00:00Z
Q5789882,Nit de l'Albà,festival,Q29,Spain,,,
Q3366656,Festival Grec de Barcelona,festival,Q29,Spain,,,1976-01-01T00:00:00Z
Q12388493,Festival de Títeres de Redondela,festival,Q29,Spain,,,2000-01-01T00:00:00Z
Q5944895,LOOP Barcelona,festival,Q29,Spain,2003-01-01T00:00:00Z,,
Q11955007,"Vow of the City, Arenys de Mar",festival,Q29,Spain,,,
Q2894377,Festival de Música Española de Cádiz,festival,Q29,Spain,,,
Q12134277,San Prudencio festival,festival,Q29,Spain,,,
Q4583727,1987 IUSY Festival,festival,Q29,Spain,,,
Q2295568,Danoje,festival,Q884,South Korea,,,
Q29271,Pongal,festival,Q854,Sri Lanka,,,
Q12584328,Goyang International Flower Festival,festival,Q884,South Korea,,,1991-01-01T00:00:00Z
Q3302580,Great Week of Bilbao,festival,Q29,Spain,,,1978-01-01T00:00:00Z
Q8662801,Pasarela Gaudí,festival,Q29,Spain,,,1980-01-01T00:00:00Z
Q17088931,Starmus Festival,festival,Q29,Spain,,,2011-01-01T00:00:00Z
Q13112508,Thiruvathira,festival,Q854,Sri Lanka,,,
Q6139051,Tarraco Viva,festival,Q29,Spain,1998-01-01T00:00:00Z,,
Q17636451,"Las Cantaderas, León",festival,Q29,Spain,,,
Q14947228,Circuit Festival,festival,Q29,Spain,,,2008-01-01T00:00:00Z
Q5719012,Bando de la Huerta,festival,Q29,Spain,,,
Q5044119,Carnival of Las Palmas,festival,Q29,Spain,,,
Q4730265,Alla tiders Melodifestival,festival,Q1754,Stockholm,,2005-03-21T00:00:00Z,2005-03-21T00:00:00Z
Q5001265,Busan International Fireworks Festival,festival,Q884,South Korea,,,2005-01-01T00:00:00Z
Q5296017,Dongseongno Festival,festival,Q884,South Korea,,,1990-01-01T00:00:00Z
Q11921921,Q11921921,festival,Q29,Spain,,,
Q20104211,Q20104211,festival,Q29,Spain,,,
Q11921960,Fia-Faia,festival,Q29,Spain,,,
Q3290365,Festivity of ‘la Mare de Déu de la Salut’ of Algemesí,festival,Q29,Spain,,,
Q5803877,Q5803877,festival,Q29,Spain,,,1988-01-01T00:00:00Z
Q5861858,Toro enmaromado,festival,Q29,Spain,,,
Q5861846,Q5861846,festival,Q29,Spain,,,
Q20105615,Diada del 25 d'abril,festival,Q29,Spain,,,
Q5861845,Q5861845,festival,Q29,Spain,,,
Q12800598,Rusijada,festival,Q215,Slovenia,,,2007-01-01T00:00:00Z
Q486373,Boryeong Mud Festival,festival,Q884,South Korea,,,1998-01-01T00:00:00Z
Q9094659,Q9094659,festival,Q29,Spain,,,1998-01-01T00:00:00Z
Q6124437,San Sebastian's Big Week,festival,Q29,Spain,,,
Q7141858,Pascua Florida,festival,Q29,Spain,,,
