unique_id,cluster_id
osmhub_4681181086,osmhub_4681181086
osmhub_4681181438,osmhub_262619907
osmhub_4681181439,osmhub_262619907
osmhub_4784138508,osmhub_4784138508
osmhub_4784138509,osmhub_4784138509
osmhub_5311118145,osmhub_5311118145
osmhub_5316997823,osmhub_5316997823
osmhub_5316997912,osmhub_5316997912
osmhub_5368442765,osmhub_5368442765
osmhub_5370990582,osmhub_5370990582
osmhub_5370990616,osmhub_5370990616
osmhub_5378745728,osmhub_5378745728
osmhub_5383309894,osmhub_5383309894
osmhub_5383310865,osmhub_5383310865
osmhub_5435074763,osmhub_5435074763
osmhub_5450310140,osmhub_5450310140
osmhub_5450310145,osmhub_5450310145
osmhub_5450903203,osmhub_5450903203
osmhub_5451076130,osmhub_5451076130
osmhub_5451456298,osmhub_5451456298
osmhub_5451456318,osmhub_5451456318
osmhub_5687009081,osmhub_5687009081
osmhub_5687009082,osmhub_5687009082
osmhub_5827794113,osmhub_5827794113
osmhub_5827801974,osmhub_5827794113
osmhub_5878212496,osmhub_5878212496
osmhub_6130288134,osmhub_6130288134
osmhub_7047016903,osmhub_7047016903
osmhub_7047043027,osmhub_7047043027
osmhub_7047065519,osmhub_7047065519
osmhub_7072277768,osmhub_528853635
osmhub_7266668287,osmhub_7266668287
osmhub_7537872518,osmhub_7537872518
osmhub_7537874944,osmhub_7537874944
osmhub_7537874945,osmhub_7537874945
osmhub_7537874946,osmhub_7537874946
osmhub_7537897481,osmhub_7537897481
osmhub_7537897482,osmhub_7537897482
osmhub_7537897483,osmhub_7537897483
osmhub_7537897484,osmhub_7537897484
osmhub_7537918485,osmhub_7537918485
osmhub_7537918486,osmhub_41984084
osmhub_7606555867,osmhub_7606555867
osmhub_8600018902,osmhub_8600018902
osmhub_9794478411,osmhub_9794478411
osmhub_10244347403,osmhub_10244347403
osmhub_11208806839,osmhub_11208806839
osmhub_12163422718,osmhub_12163422718
osmhub_12213652138,osmhub_12213652138
osmhub_12730663640,osmhub_12730663640
osmhub_13475755620,osmhub_13475755620
osmhub_6344354,osmhub_6344354
osmhub_23935723,osmhub_23935723
osmhub_24492726,osmhub_24492726
osmhub_24908316,osmhub_24908316
osmhub_25629962,osmhub_25629962
osmhub_27581856,osmhub_27581856
osmhub_31515719,osmhub_31515719
osmhub_32548879,osmhub_32548879
osmhub_33139445,osmhub_33139445
osmhub_34292601,osmhub_34292601
osmhub_38069644,osmhub_38069644
osmhub_47249361,osmhub_47249361
osmhub_136883847,osmhub_136883847
osmhub_146794176,osmhub_146794176
osmhub_182389920,osmhub_182389920
osmhub_237722672,osmhub_237722672
osmhub_261702428,osmhub_261702428
osmhub_316032582,osmhub_316032582
osmhub_837551906,osmhub_837551906
osmhub_862760531,osmhub_25629962
osmhub_1036271246,osmhub_1036271246
osmhub_1122676600,osmhub_1122676600
osmhub_1137361542,osmhub_1137361542
osmhub_1232028001,osmhub_1232028001
osmhub_7506714,osmhub_7506714
osmhub_370384146,osmhub_370384146
osmhub_441565080,osmhub_441565080
osmhub_449765713,osmhub_3041302832
osmhub_462009690,osmhub_462009690
osmhub_547011947,osmhub_547011947
osmhub_572529923,osmhub_572529923
osmhub_685736118,osmhub_685736118
osmhub_686670341,osmhub_686670341
osmhub_762871760,osmhub_762871760
osmhub_834113410,osmhub_834113410
osmhub_1459237889,osmhub_1459237889
osmhub_1459335447,osmhub_1459335447
osmhub_1782422030,osmhub_1782422030
osmhub_1927895372,osmhub_1927895372
osmhub_1950583944,osmhub_1950583944
osmhub_2194863659,osmhub_2194863659
osmhub_2326203798,osmhub_2326203798
osmhub_2838957162,osmhub_2838957162
osmhub_2838957163,osmhub_2838957163
osmhub_2838957164,osmhub_2838957164
osmhub_2838957165,osmhub_2838957165
