unique_id,cluster_id
osm_577519953,osm_577519953
osm_583067218,osm_583067218
osm_585344628,osm_106657674
osm_587613183,osm_587613183
osm_589399515,osm_106657674
osm_593475843,osm_2162178792
osm_594365265,osm_106657674
osm_594819685,osm_106657674
osm_595504813,osm_2182964613
osm_595868477,osm_2172299024
osm_598493962,osm_598493962
osm_600598620,osm_600598620
osm_606335046,osm_606335046
osm_606335047,osm_2491089089
osm_607445300,osm_607445300
osm_608704460,osm_188795650
osm_611984584,osm_1072328486
osm_613995122,osm_613995122
osm_614574534,osm_2182964613
osm_615057953,osm_188795650
osm_615058023,osm_188795650
osm_615058993,osm_615058993
osm_615063296,osm_188795650
osm_615072483,osm_304150131
osm_616022420,osm_188795650
osm_616022421,osm_188795650
osm_616075064,osm_616075064
osm_619128475,osm_619128475
osm_622296064,osm_622296064
osm_631381270,osm_429065122
osm_632349501,osm_2233387578
osm_634146400,osm_634146400
osm_642333245,osm_106657674
osm_659126049,osm_1072328486
osm_660911846,osm_328431290
osm_662163266,osm_1072328486
osm_663125055,osm_1072328486
osm_663479931,osm_1709530978
osm_663479932,osm_1709530978
osm_688359428,osm_688359428
osm_718622840,osm_718622840
osm_726076025,osm_448825446
osm_729667401,osm_729667401
osm_746895743,osm_746895743
osm_746910506,osm_746910506
osm_746916915,osm_746916915
osm_746917243,osm_746917243
osm_748724107,osm_748724107
osm_763661371,osm_763661371
osm_768256980,osm_1709530978
osm_773539537,osm_2172299024
osm_774464775,osm_774464775
osm_793835891,osm_1417723740
osm_836085522,osm_1479928962
osm_847533152,osm_1040561859
osm_876898531,osm_876898531
osm_877920033,osm_877920033
osm_877930209,osm_877930209
osm_877938909,osm_877938909
osm_877958972,osm_877958972
osm_893460262,osm_2115103686
osm_900141328,osm_900141328
osm_900141346,osm_900141328
osm_930149933,osm_2300719624
osm_973522024,osm_565300809
osm_992109494,osm_992109494
osm_1017442397,osm_1017442397
osm_1019456031,osm_1019456031
osm_1019733246,osm_1019733246
osm_1022287349,osm_1022287349
