unique_id,cluster_id
osmacc_292071281,osmacc_10704411583
osmacc_294106172,osmacc_294106172
osmacc_296443931,osmacc_296443931
osmacc_299375172,osmacc_299375172
osmacc_301080754,osmacc_10704411583
osmacc_302262588,osmacc_10704411583
osmacc_303024628,osmacc_10704411583
osmacc_303024631,osmacc_10704411583
osmacc_304052512,osmacc_10704411583
osmacc_306768937,osmacc_10704411583
osmacc_307233625,osmacc_10704411583
osmacc_307289977,osmacc_10704411583
osmacc_330983420,osmacc_10704411583
osmacc_330983422,osmacc_10704411583
osmacc_336594586,osmacc_10704411583
osmacc_339729644,osmacc_10704411583
osmacc_340311282,osmacc_340311282
osmacc_347029901,osmacc_120127352
osmacc_349279831,osmacc_10704411583
osmacc_375505754,osmacc_375505754
osmacc_386264652,osmacc_386264652
osmacc_421135696,osmacc_10704411583
osmacc_421985310,osmacc_10704411583
osmacc_427446983,osmacc_10704411583
osmacc_430218112,osmacc_10704411583
osmacc_430602231,osmacc_10704411583
osmacc_432319399,osmacc_10704411583
osmacc_435172743,osmacc_10704411583
osmacc_448767257,osmacc_448767257
osmacc_448964449,osmacc_10704411583
osmacc_467961029,osmacc_467961029
osmacc_497776279,osmacc_10704411583
osmacc_498541464,osmacc_10704411583
osmacc_499457011,osmacc_120127352
osmacc_499487877,osmacc_499487877
osmacc_502874727,osmacc_502874727
osmacc_512320362,osmacc_512320362
osmacc_518426641,osmacc_518426641
osmacc_539229729,osmacc_12365707736
osmacc_544632484,osmacc_1185627028
osmacc_632245180,osmacc_10704411583
osmacc_122323571,osmacc_117276317
osmacc_292844962,osmacc_114037227
osmacc_293448451,osmacc_293448451
osmacc_293536724,osmacc_102619665
osmacc_365712610,osmacc_102619665
osmacc_410522760,osmacc_102619665
osmacc_452058344,osmacc_114037227
osmacc_475371459,osmacc_114037227
osmacc_477346840,osmacc_471052278
osmacc_600383962,osmacc_600383962
osmacc_700289427,osmacc_700289427
osmacc_700298339,osmacc_12729874064
osmacc_754499261,osmacc_102619665
osmacc_815740292,osmacc_815740292
osmacc_817319543,osmacc_102619665
osmacc_828977676,osmacc_176084115
osmacc_845205854,osmacc_102619665
osmacc_863811239,osmacc_114037227
osmacc_1214715070,osmacc_102619665
osmacc_1234101646,osmacc_114037227
osmacc_1234831709,osmacc_114037227
osmacc_1241939542,osmacc_1241939542
osmacc_1246003204,osmacc_102619665
