cluster_id,n_nodes,n_edges,density,cluster_centralisation
osmhub_1576973980,1,0.0,,
osmhub_6432710293,1,0.0,,
osmhub_21257480,1,0.0,,
osmhub_1333186428,1,0.0,,
osmhub_5760591325,1,0.0,,
osmhub_35727528,1,0.0,,
osmhub_50981257,1,0.0,,
osmhub_5966230857,2,1.0,1.0,
osmhub_4188974134,1,0.0,,
osmhub_11609509265,1,0.0,,
osmhub_263302800,1,0.0,,
osmhub_207697091,1,0.0,,
osmhub_12754592123,4,4.0,0.6666666666666666,0.6666666666666666
osmhub_6491001178,1,0.0,,
osmhub_2299420249,1,0.0,,
osmhub_6103488011,1,0.0,,
osmhub_1519797030,2,1.0,1.0,
osmhub_1358469751,1,0.0,,
osmhub_2300463665,1,0.0,,
osmhub_10099539617,1,0.0,,
osmhub_2275683991,1,0.0,,
osmhub_1042011122,1,0.0,,
osmhub_1669450062,1,0.0,,
osmhub_1278165745,1,0.0,,
osmhub_620871541,2,1.0,1.0,
osmhub_5963670511,1,0.0,,
osmhub_3381427934,1,0.0,,
osmhub_12992433759,1,0.0,,
osmhub_419952870,1,0.0,,
osmhub_1042007330,1,0.0,,
osmhub_2266164095,1,0.0,,
osmhub_2913631281,1,0.0,,
osmhub_2472272777,1,0.0,,
osmhub_1524297087,1,0.0,,
osmhub_9860194778,1,0.0,,
osmhub_4036131681,1,0.0,,
osmhub_6309491973,1,0.0,,
osmhub_3268333091,1,0.0,,
osmhub_13644302877,2,1.0,1.0,
osmhub_8522750858,1,0.0,,
osmhub_259173543,1,0.0,,
osmhub_1510801209,1,0.0,,
osmhub_1192816407,1,0.0,,
osmhub_5796201083,1,0.0,,
osmhub_369158977,1,0.0,,
osmhub_7670923685,1,0.0,,
osmhub_462928364,1,0.0,,
osmhub_1472788609,1,0.0,,
osmhub_1813147165,2,1.0,1.0,
osmhub_6554565421,1,0.0,,
osmhub_9555607519,1,0.0,,
osmhub_1222214453,1,0.0,,
osmhub_4022791231,1,0.0,,
osmhub_859682633,1,0.0,,
osmhub_582337058,1,0.0,,
osmhub_255137291,1,0.0,,
osmhub_1270323047,1,0.0,,
osmhub_4343383692,6,14.0,0.9333333333333333,0.1
osmhub_1493195449,1,0.0,,
osmhub_426945334,2,1.0,1.0,
osmhub_703253620,1,0.0,,
osmhub_2288519694,2,1.0,1.0,
osmhub_2007187479,2,1.0,1.0,
osmhub_1500958737,1,0.0,,
osmhub_5189311848,5,7.0,0.7,0.5
osmhub_3091412586,1,0.0,,
osmhub_157551332,1,0.0,,
osmhub_174344185,1,0.0,,
osmhub_5263686385,1,0.0,,
osmhub_3486353594,1,0.0,,
osmhub_369044385,1,0.0,,
osmhub_13625090001,1,0.0,,
osmhub_4727202073,1,0.0,,
osmhub_10723314905,1,0.0,,
osmhub_1422459486,1,0.0,,
osmhub_11132682256,1,0.0,,
osmhub_1439630938,2,1.0,1.0,
osmhub_7034874506,1,0.0,,
osmhub_5162418129,1,0.0,,
osmhub_1993059211,1,0.0,,
osmhub_6453544488,2,1.0,1.0,
osmhub_2571375836,1,0.0,,
osmhub_13300656976,1,0.0,,
osmhub_7556744219,1,0.0,,
osmhub_369121020,1,0.0,,
osmhub_7712171238,2,1.0,1.0,
osmhub_3410254986,1,0.0,,
osmhub_99725676,1,0.0,,
osmhub_983749002,1,0.0,,
osmhub_2582862865,1,0.0,,
osmhub_6941755733,1,0.0,,
osmhub_5214753204,1,0.0,,
osmhub_1358279231,1,0.0,,
osmhub_11564612311,2,1.0,1.0,
osmhub_151003914,2,1.0,1.0,
osmhub_267071662,1,0.0,,
osmhub_664468001,1,0.0,,
osmhub_5421543316,1,0.0,,
osmhub_346134733,1,0.0,,
osmhub_13525554098,2,1.0,1.0,
osmhub_6114280524,1,0.0,,
osmhub_5303272005,1,0.0,,
osmhub_824710560,1,0.0,,
osmhub_2324284695,1,0.0,,
osmhub_1142601767,2,1.0,1.0,
osmhub_9164739506,1,0.0,,
osmhub_27941733,1,0.0,,
osmhub_369139507,1,0.0,,
osmhub_1418454820,5,10.0,1.0,0.0
osmhub_362343924,1,0.0,,
osmhub_612439857,1,0.0,,
osmhub_823908904,1,0.0,,
osmhub_6611626338,4,6.0,1.0,0.0
osmhub_983366114,2,1.0,1.0,
osmhub_6169975226,1,0.0,,
osmhub_958287304,1,0.0,,
osmhub_234313931,1,0.0,,
osmhub_3639530941,3,3.0,1.0,0.0
osmhub_8761131035,1,0.0,,
osmhub_10111182541,2,1.0,1.0,
osmhub_3902132376,2,1.0,1.0,
osmhub_90500236,1,0.0,,
osmhub_286741305,1,0.0,,
osmhub_1334905111,1,0.0,,
osmhub_724795829,1,0.0,,
osmhub_9560059903,1,0.0,,
osmhub_280728684,1,0.0,,
osmhub_4447598645,1,0.0,,
osmhub_306065959,1,0.0,,
osmhub_2028079813,7,14.0,0.6666666666666666,0.23333333333333334
osmhub_1275615310,1,0.0,,
osmhub_30402685,1,0.0,,
osmhub_3760885191,1,0.0,,
osmhub_7648479935,1,0.0,,
osmhub_269707015,1,0.0,,
