clerical_match_score,found_by_blocking_rules,match_weight,match_probability,unique_id_l,unique_id_r,name_clean_l,name_clean_r,gamma_name_clean,bf_name_clean,entity_type_l,entity_type_r,gamma_entity_type,bf_entity_type,iata_code_l,iata_code_r,gamma_iata_code,bf_iata_code,lon_l,lon_r,lat_l,lat_r,gamma_lat_lon,bf_lat_lon,true_label_l,true_label_r,match_key
0.0,True,13.977883070498057,0.9999380257893458,osmhub_274286492,osmhub_643104548,rurberg obersee,rurberg,1,2167.000616383086,Port,Port,1,2.226079745459754,,,-1,1.0,6.3900919,6.3862153,50.6069079,50.6085913,2,33444.05242265314,14,29,2
0.0,True,13.977883070498057,0.9999380257893458,osmhub_26446051,osmhub_2981565079,verviers-central,verviers-palais,1,2167.000616383086,Train,Train,1,2.226079745459754,,,-1,1.0,5.8551021,5.8642865,50.5883259,50.5908024,2,33444.05242265314,0,69,2
0.0,True,12.186983012357254,0.9997855828957453,osmhub_5827794113,osmhub_5827801974,paep van meinecom,paep van meinecom,3,45904.93781675543,Port,Port,1,2.226079745459754,,,-1,1.0,5.8226332,5.8464687,51.1298031,51.1558112,1,456.25106392607756,182,183,0
0.0,True,14.721539063278136,0.9999629865911385,osmhub_528853635,osmhub_7072277768,eijsden,eijsden,3,45904.93781675543,Port,Train,0,0.175955606681669,,,-1,1.0,5.6993253,5.7100788,50.7769494,50.7720454,2,33444.05242265314,28,189,0
0.0,True,2.4445129095885227,0.8448028747506426,osmhub_3041302832,osmhub_449765713,samsø - hou,tunøfærgen,0,0.2480467940400626,Port,Port,1,2.226079745459754,,,-1,1.0,10.2591121,10.2586746,55.9124582,55.911801,3,98572.08493958534,254,234,2
0.0,True,2.4445129095885227,0.8448028747506426,osmhub_3787272840,osmhub_4449390497,gh-express,stb,0,0.2480467940400626,Bus,Bus,1,2.226079745459754,,,-1,1.0,-4.0085511,-4.0085324,5.3120224,5.3119716,3,98572.08493958534,359,373,2
0.0,True,15.537312542152051,0.9999789722047083,osmhub_11525275069,osmhub_5076847221,gare lagunaire abobodoumé,gare lagunaire dabobo-doumé sotra,1,2167.000616383086,Port,Port,1,2.226079745459754,,,-1,1.0,-4.0343526,-4.0345976,5.3106321,5.3106316,3,98572.08493958534,501,380,2
0.0,True,2.4445129095885227,0.8448028747506426,osmhub_5147952122,osmhub_5151223622,gare de gbaka dokui zoo paillet,gare angré pétro ivoire,0,0.2480467940400626,Train,Train,1,2.226079745459754,,,-1,1.0,-4.0165052,-4.0160378,5.4218733,5.4215881,3,98572.08493958534,382,383,2
0.0,True,2.4445129095885227,0.8448028747506426,osmhub_11525275069,osmhub_5390465856,gare lagunaire abobodoumé,gare lagunaire yopougon stl,0,0.2480467940400626,Port,Port,1,2.226079745459754,,,-1,1.0,-4.0343526,-4.0342154,5.3106321,5.3106769,3,98572.08493958534,501,390,2
0.0,True,13.977883070498057,0.9999380257893458,osmhub_2608400470,osmhub_5425049474,gare lagunaire de treichville sotra,gare lagunaire plateau stl,1,2167.000616383086,Port,Port,1,2.226079745459754,,,-1,1.0,-4.0158981,-4.0168766,5.3108665,5.3141508,2,33444.05242265314,351,392,2
0.0,True,15.537312542152051,0.9999789722047083,osmhub_1284522079,osmhub_5664228622,gare utb d'adjamé,gare gdf adjamé,1,2167.000616383086,Bus,Bus,1,2.226079745459754,,,-1,1.0,-4.0220863,-4.02208,5.3518216,5.3523849,3,98572.08493958534,535,393,2
0.0,True,13.977883070498057,0.9999380257893458,osmhub_5924041464,osmhub_5924247078,gare apache transport,gare tata transport,1,2167.000616383086,Train,Train,1,2.226079745459754,,,-1,1.0,-4.0784322,-4.0767941,5.3556611,5.3557673,2,33444.05242265314,398,400,2
0.0,True,2.4445129095885227,0.8448028747506426,osmhub_5924041464,osmhub_5924347771,gare apache transport,gare stc,0,0.2480467940400626,Train,Train,1,2.226079745459754,,,-1,1.0,-4.0784322,-4.0787762,5.3556611,5.3556711,3,98572.08493958534,398,402,2
0.0,True,2.4445129095885227,0.8448028747506426,osmhub_5924041464,osmhub_5924347777,gare apache transport,gare albatros,0,0.2480467940400626,Train,Train,1,2.226079745459754,,,-1,1.0,-4.0784322,-4.0781114,5.3556611,5.3556841,3,98572.08493958534,398,403,2
0.0,True,2.4445129095885227,0.8448028747506426,osmhub_5924041464,osmhub_5924347778,gare apache transport,gare syvo,0,0.2480467940400626,Train,Train,1,2.226079745459754,,,-1,1.0,-4.0784322,-4.0779226,5.3556611,5.3556658,3,98572.08493958534,398,404,2
0.0,True,13.977883070498057,0.9999380257893458,osmhub_5924041464,osmhub_5924562695,gare apache transport,gare n transport,1,2167.000616383086,Train,Train,1,2.226079745459754,,,-1,1.0,-4.0784322,-4.0801633,5.3556611,5.3554301,2,33444.05242265314,398,410,2
0.0,True,2.4445129095885227,0.8448028747506426,osmhub_5964688386,osmhub_5964688387,gare wôrô-wôrô et gbaka de n'dotre,gare de tricycle,0,0.2480467940400626,Train,Train,1,2.226079745459754,,,-1,1.0,-4.0697262,-4.0699628,5.4434684,5.4431454,3,98572.08493958534,432,433,2
0.0,True,8.525761126926662,0.9972940896104283,osmhub_5425049447,osmhub_6863792670,gare de bingerville,gare de bingerville,3,45904.93781675543,Train,Bus,0,0.175955606681669,,,-1,1.0,-4.0530042,-4.0117705,5.3222796,5.3534403,1,456.25106392607756,391,444,0
0.0,True,13.977883070498057,0.9999380257893458,osmhub_393063688,osmhub_7036612585,gare nord sotra - adjamé,gare st adjamé,1,2167.000616383086,Bus,Bus,1,2.226079745459754,,,-1,1.0,-4.027551,-4.0285728,5.358521,5.3601899,2,33444.05242265314,519,450,2
0.0,True,15.537312542152051,0.9999789722047083,osmhub_2608400470,osmhub_7079693846,gare lagunaire de treichville sotra,gare lagunaire aqualines treichville,1,2167.000616383086,Port,Port,1,2.226079745459754,,,-1,1.0,-4.0158981,-4.015332,5.3108665,5.3110476,3,98572.08493958534,351,455,2
0.0,True,13.977883070498057,0.9999380257893458,osmhub_1284522079,osmhub_7139357885,gare utb d'adjamé,gare cte adjamé,1,2167.000616383086,Bus,Bus,1,2.226079745459754,,,-1,1.0,-4.0220863,-4.0215711,5.3518216,5.3539531,2,33444.05242265314,535,458,2
0.0,True,12.186983012357254,0.9997855828957453,osmhub_2489277836,osmhub_7166952559,bac de eloka,bac de eloka,3,45904.93781675543,Port,Port,1,2.226079745459754,,,-1,1.0,-3.7833208,-3.7819291,5.2773637,5.2663697,1,456.25106392607756,349,459,0
0.0,True,2.4445129095885227,0.8448028747506426,osmhub_10293470016,osmhub_7834978085,gare 9 kilo,gare wôro-wôrô 9 kilo,0,0.2480467940400626,Train,Train,1,2.226079745459754,,,-1,1.0,-3.9638389,-3.963912,5.3574904,5.3574857,3,98572.08493958534,484,463,2
0.0,True,2.4445129095885227,0.8448028747506426,osmhub_1284522079,osmhub_8455777218,gare utb d'adjamé,gare sbta gagnoa,0,0.2480467940400626,Bus,Bus,1,2.226079745459754,,,-1,1.0,-4.0220863,-4.0220034,5.3518216,5.3512371,3,98572.08493958534,535,469,2
0.0,True,2.4445129095885227,0.8448028747506426,osmhub_3017000093,osmhub_9189537851,citt et bsc,gare chez wawa,0,0.2480467940400626,Train,Train,1,2.226079745459754,,,-1,1.0,-4.0215352,-4.022354,5.3530786,5.3531303,3,98572.08493958534,353,472,2
0.0,True,14.721539063278136,0.9999629865911385,osmhub_4049389787,osmhub_9988415343,gare d'azaguié,gare d'azaguié,3,45904.93781675543,Train,Bus,0,0.175955606681669,,,-1,1.0,-4.0863254,-4.0840703,5.6298328,5.6319776,2,33444.05242265314,365,474,0
0.0,True,2.4445129095885227,0.8448028747506426,osmhub_11238703380,osmhub_11238908593,gare du village,nouvelle gare stbd,0,0.2480467940400626,Bus,Bus,1,2.226079745459754,,,-1,1.0,-4.3801653,-4.3797181,5.3265553,5.3259384,3,98572.08493958534,496,497,2
0.0,True,2.4445129095885227,0.8448028747506426,osmhub_10012828419,osmhub_12396486901,nouvelle gare utb,sonef transport,0,0.2480467940400626,Bus,Bus,1,2.226079745459754,,,-1,1.0,-3.9467439,-3.9471412,5.2964179,5.296536,3,98572.08493958534,475,507,2
0.0,True,2.4445129095885227,0.8448028747506426,osmhub_1625055311,osmhub_745499162,gare de bassam,gare wôrô-wôrô bateau bus - vridi cité,0,0.2480467940400626,Bus,Bus,1,2.226079745459754,,,-1,1.0,-4.0032915,-4.0030984,5.2990514,5.2984463,3,98572.08493958534,346,525,2
0.0,True,12.186983012357254,0.9997855828957453,osmhub_745499164,osmhub_745502441,gare wôrô-wôrô,gare wôrô-wôrô,3,45904.93781675543,Bus,Bus,1,2.226079745459754,,,-1,1.0,-4.0020586,-4.0210132,5.2997224,5.3317209,1,456.25106392607756,526,529,0
0.0,True,13.977883070498057,0.9999380257893458,osmhub_745502442,osmhub_745502443,gare wôrô-wôrô commerce,gare wôrô-wôrô plateau longchamps,1,2167.000616383086,Bus,Bus,1,2.226079745459754,,,-1,1.0,-4.0177324,-4.0221381,5.3183594,5.3246691,2,33444.05242265314,530,531,2
0.0,True,2.4445129095885227,0.8448028747506426,osmhub_2815303473,osmhub_2815320007,banana inn,korlebu station,0,0.2480467940400626,Bus,Bus,1,2.226079745459754,,,-1,1.0,-0.2362276,-0.2359508,5.5643203,5.5640056,3,98572.08493958534,586,589,2
0.0,True,12.186983012357254,0.9997855828957453,osmhub_352160512,osmhub_4740602042,tema station,tema station,3,45904.93781675543,Bus,Bus,1,2.226079745459754,,,-1,1.0,-0.2018127,-0.2373184,5.5486241,5.5659266,1,456.25106392607756,683,610,0
0.0,True,2.4445129095885227,0.8448028747506426,osmhub_5679151042,osmhub_6349550685,37 station,stc yard tema,0,0.2480467940400626,Bus,Bus,1,2.226079745459754,,,-1,1.0,-0.0014329,-0.0017999,5.6471454,5.6470933,3,98572.08493958534,629,642,2
0.0,True,2.4445129095885227,0.8448028747506426,osmhub_6433613585,osmhub_6433613586,taxi rank,nugua station,0,0.2480467940400626,Bus,Bus,1,2.226079745459754,,,-1,1.0,-0.0799253,-0.0792078,5.6020566,5.6021957,3,98572.08493958534,647,648,2
0.0,True,17.069815114344767,0.9999927310702231,osmhub_3752876832,osmhub_3752876833,nifas silk 2,nifas silk 1,2,18476.653934522266,Train,Train,1,2.226079745459754,,,-1,1.0,38.7607564,38.7629649,8.9731053,8.9656989,2,33444.05242265314,757,758,2
0.0,True,2.4445129095885227,0.8448028747506426,osmhub_10794916505,osmhub_4405735892,ላም በረት,ላምበረት መናኸሪያ,0,0.2480467940400626,Bus,Bus,1,2.226079745459754,,,-1,1.0,38.8192128,38.8190446,9.0238669,9.0241999,3,98572.08493958534,813,768,2
