cluster_id,n_nodes,n_edges,density,cluster_centralisation
osm_151385190,413,3075.0,0.03614330379181457,0.12953251600406301
osm_7251459291,2,1.0,1.0,
osm_10856650338,12,24.0,0.36363636363636365,0.43636363636363634
osm_10706943750,4,4.0,0.6666666666666666,0.6666666666666666
osm_759789553,2,1.0,1.0,
osm_387219314,2,1.0,1.0,
osm_2135476878,3,3.0,1.0,0.0
osm_413052992,3,3.0,1.0,0.0
osm_1617167370,2,1.0,1.0,
osm_345162669,3,3.0,1.0,0.0
osm_617667546,2,1.0,1.0,
osm_4253892808,2,1.0,1.0,
osm_300386159,2,1.0,1.0,
osm_7160828765,2,1.0,1.0,
osm_357736829,13,17.0,0.21794871794871795,0.23484848484848486
osm_148359618,2,1.0,1.0,
osm_4531537404,2,1.0,1.0,
osm_10207166996,23,59.0,0.233201581027668,0.19264069264069264
osm_4021791581,3,2.0,0.6666666666666666,1.0
osm_4329093292,5,7.0,0.7,0.5
osm_2166007822,2,1.0,1.0,
osm_2740416252,3,3.0,1.0,0.0
osm_175513446,2,1.0,1.0,
np_Q22661241,2,1.0,1.0,
osm_1423993793,2,1.0,1.0,
osm_1418558868,2,1.0,1.0,
osm_1660832403,17,20.0,0.14705882352941177,0.25833333333333336
osm_357291639,2,1.0,1.0,
osm_357773644,3,3.0,1.0,0.0
osm_2964249655,6,9.0,0.6,0.3
osm_3627048361,4,4.0,0.6666666666666666,0.6666666666666666
osm_1841312193,8,19.0,0.6785714285714286,0.23809523809523808
osm_1038277900,43,137.0,0.15171650055370986,0.16550522648083624
osm_2445319278,3,3.0,1.0,0.0
osm_1061343614,4,6.0,1.0,0.0
osm_368155558,2,1.0,1.0,
osm_357390257,268,729.0,0.02037564984068422,0.08512855171636957
osm_10075541638,4,3.0,0.5,0.3333333333333333
osm_431735895,6,7.0,0.4666666666666667,0.5
osm_7205528460,2,1.0,1.0,
osm_9776756818,2,1.0,1.0,
osm_305141561,2,1.0,1.0,
osm_1113194509,29,54.0,0.1330049261083744,0.164021164021164
osm_5107218027,2,1.0,1.0,
osm_5053986825,3,3.0,1.0,0.0
osm_2077121904,18,23.0,0.1503267973856209,0.16176470588235295
osm_358592488,2,1.0,1.0,
