clerical_match_score,found_by_blocking_rules,match_weight,match_probability,unique_id_l,unique_id_r,name_clean_l,name_clean_r,gamma_name_clean,bf_name_clean,entity_type_l,entity_type_r,gamma_entity_type,bf_entity_type,parent_id_l,parent_id_r,gamma_parent_id,bf_parent_id,lon_l,lon_r,lat_l,lat_r,gamma_lat_lon,bf_lat_lon,true_label_l,true_label_r,match_key
0.0,True,2.330914805529283,0.8341966924910421,dest_Q1910791,dest_Q1921437,zuid,zuid,3,92105.15999999999,Neighborhood,Neighborhood,1,3.220823256638474,Q1296,Q12892,0,0.0015027543234927682,3.73056,4.395,51.04778,51.21,1,112.84777517414746,1943,559,0
0.0,True,4.527475061336905,0.9584415047496947,dest_Q4111516,dest_Q5124272,civic center,civic center,3,92105.15999999999,Neighborhood,Neighborhood,1,3.220823256638474,Q65,Q16555,0,0.0015027543234927682,-118.244659,-118.245,34.054139,34.0541,3,517.2774252144781,4067,3846,0
0.0,True,2.330914805529283,0.8341966924910421,dest_Q267874,dest_Q5124273,civic center,civic center,3,92105.15999999999,Neighborhood,Neighborhood,1,3.220823256638474,Q62,Q17042,0,0.0015027543234927682,-122.41583333333,-122.26487222,37.779166666667,37.80079722,1,112.84777517414746,6795,5652,0
0.0,True,2.330914805529283,0.8341966924910421,dest_Q20657539,dest_Q7138697,parkside,parkside,3,92105.15999999999,Neighborhood,Neighborhood,1,3.220823256638474,Q25330,Q1345,0,0.0015027543234927682,-74.79527778,-75.206667,40.23444444,39.973889,1,112.84777517414746,8099,6118,0
0.0,True,2.330914805529283,0.8341966924910421,dest_Q1073644,dest_Q5100154,chinatown,chinatown,3,92105.15999999999,Neighborhood,Neighborhood,1,3.220823256638474,Q62,Q17042,0,0.0015027543234927682,-122.40722222222,-122.27027778,37.794722222222,37.8,1,112.84777517414746,6758,5643,0
0.0,True,3.70364493184912,0.9287186449865401,dest_Q219060,dest_Q23792,palestine,palestine,3,92105.15999999999,Country,Region,0,0.01253394612340104,,Q801,-1,1.0,35.25,35.145264,32.0,31.625321,1,112.84777517414746,9378,14206,0
0.0,True,4.123528753326304,0.9457416393497399,dest_Q200045,dest_Q6455147,imereti,imereti,3,92105.15999999999,Province,Region,0,0.01253394612340104,Q230,Q230,1,150.9699899778013,42.983333333,,42.166666666,,-1,1.0,10479,14349,0
0.0,True,3.70364493184912,0.9287186449865401,dest_Q57251,dest_Q865,taiwan,taiwan,3,92105.15999999999,Province,Country,0,0.01253394612340104,Q148,,-1,1.0,121.0,121.0,23.7,24.0,1,112.84777517414746,11493,9412,0
0.0,True,4.123528753326304,0.9457416393497399,dest_Q12870277,dest_Q200048,kvemo kartli,kvemo kartli,3,92105.15999999999,Region,Province,0,0.01253394612340104,Q230,Q230,1,150.9699899778013,,44.516666666,,41.516666666,-1,1.0,14509,10475,0
0.0,True,2.330914805529283,0.8341966924910421,dest_Q32081,dest_Q57251,taiwan,taiwan,3,92105.15999999999,Province,Province,1,3.220823256638474,Q865,Q148,0,0.0015027543234927682,121.0,121.0,23.8,23.7,1,112.84777517414746,12501,11493,0
0.0,True,3.8850372768388017,0.9366065433802564,dest_Q1848,dest_Q238,san marino,san marino,3,92105.15999999999,Province,Country,0,0.01253394612340104,Q238,,-1,1.0,12.44845,12.466666666667,43.932011111,43.933333333333,2,127.96686723419431,12506,9404,0
0.0,True,10.94176291876977,0.9994918634682342,dest_Q153809,dest_Q42880,tyrol,tyrol,3,92105.15999999999,Region,Province,0,0.01253394612340104,Q40,Q40,1,150.9699899778013,11.0,11.4,47.0,47.266666666,1,112.84777517414746,13296,9718,0
0.0,True,2.9303217526208862,0.8840284415921391,dest_Q6557114,dest_Q665514,liptako,liptako,3,92105.15999999999,Region,Province,0,0.01253394612340104,Q965,Q965,1,150.9699899778013,-2.412916,-0.04575,17.201427,14.03351,0,0.437329629040727,13620,9963,0
0.0,True,3.70364493184912,0.9287186449865401,dest_Q1231,dest_Q1246,kosovo,kosovo,3,92105.15999999999,Region,Country,0,0.01253394612340104,Q1246,,-1,1.0,21.0,20.833333333333,42.5,42.55,1,112.84777517414746,13774,9288,0
0.0,True,4.123528753326304,0.9457416393497399,dest_Q14217351,dest_Q44795,la pampa,la pampa,3,92105.15999999999,Region,Province,0,0.01253394612340104,Q414,Q414,1,150.9699899778013,,-64.283333333,,-36.616666666,-1,1.0,14049,10220,0
0.0,True,3.70364493184912,0.9287186449865401,dest_Q32081,dest_Q865,taiwan,taiwan,3,92105.15999999999,Province,Country,0,0.01253394612340104,Q865,,-1,1.0,121.0,121.0,23.8,24.0,1,112.84777517414746,12501,9412,0
0.0,True,2.9303217526208862,0.8840284415921391,dest_Q169132,dest_Q22424,punjab,punjab,3,92105.15999999999,Region,Province,0,0.01253394612340104,Q668,Q668,1,150.9699899778013,74.0,75.466666666,31.0,30.766666666,0,0.437329629040727,14193,10686,0
0.0,True,8.391851867711217,0.9970316860764658,dest_Q115765914,dest_Q115766554,q115765914,q115766554,1,61.20757575757581,Neighborhood,Neighborhood,1,3.220823256638474,Q87,Q87,1,150.9699899778013,30.049472222222,29.926083333333,31.334333333333,31.171694444444,1,112.84777517414746,19,44,1
0.0,True,10.588412123518838,0.9993509347363688,dest_Q20379381,dest_Q3559328,agios loukas athens,agios nikolaos athens,1,61.20757575757581,Neighborhood,Neighborhood,1,3.220823256638474,Q1524,Q1524,1,150.9699899778013,23.735,23.7297,38.01388889,38.0067,3,517.2774252144781,93,105,1
0.0,True,14.545343401626953,0.9999581787339762,dest_Q135656985,dest_Q135656986,q135656985,q135656986,2,950.5176470588242,City,City,1,3.220823256638474,Q2749,Q2749,1,150.9699899778013,10.83286,10.82543,48.34076,48.33438,3,517.2774252144781,111,118,1
0.0,True,12.530175490809013,0.9998309683967875,dest_Q135656983,dest_Q135656986,q135656983,q135656986,2,950.5176470588242,City,City,1,3.220823256638474,Q2749,Q2749,1,150.9699899778013,10.83786,10.82543,48.32989,48.33438,2,127.96686723419431,115,118,1
0.0,True,8.5732442127009,0.9973814695593125,dest_Q139376450,dest_Q139376938,durumi inigeria,durumi iiinigeria,1,61.20757575757581,City,City,1,3.220823256638474,Q3787,Q3787,1,150.9699899778013,7.5,7.4671,9.02,9.0223,2,127.96686723419431,197,245,1
0.0,True,14.545343401626953,0.9999581787339762,dest_Q139376850,dest_Q139376938,durumi iinigeria,durumi iiinigeria,2,950.5176470588242,City,City,1,3.220823256638474,Q3787,Q3787,1,150.9699899778013,7.4671,7.4671,9.0223,9.0223,3,517.2774252144781,199,245,1
0.0,True,14.545343401626953,0.9999581787339762,dest_Q139587894,dest_Q139588097,karsana inigeria,karsana iiinigeria,2,950.5176470588242,City,City,1,3.220823256638474,Q3787,Q3787,1,150.9699899778013,7.33696,7.33696,9.12483,9.12483,3,517.2774252144781,247,250,1
0.0,True,10.588412123518838,0.9993509347363688,dest_Q2333137,dest_Q4983131,buckhead,buckhead village,1,61.20757575757581,Neighborhood,Neighborhood,1,3.220823256638474,Q23556,Q23556,1,150.9699899778013,-84.3799,-84.3799,33.8394,33.8394,3,517.2774252144781,641,665,1
0.0,True,5.530548980375864,0.9788240216920807,dest_Q108402628,dest_Q108402638,q108402628,q108402638,2,950.5176470588242,Neighborhood,Neighborhood,1,3.220823256638474,Q41183,Q41183,1,150.9699899778013,,,,,-1,1.0,794,799,1
0.0,True,10.588412123518838,0.9993509347363688,dest_Q104879578,dest_Q104879582,binnamangala manavarthe kaval,binnamangala bangalore,1,61.20757575757581,Neighborhood,Neighborhood,1,3.220823256638474,Q1355,Q1355,1,150.9699899778013,77.646320199081,77.639004603258,12.980748913495,12.980806122943,3,517.2774252144781,942,961,1
0.0,True,12.530175490809013,0.9998309683967875,dest_Q2910676,dest_Q2910678,q2910676,q2910678,2,950.5176470588242,Neighborhood,Neighborhood,1,3.220823256638474,Q1479,Q1479,1,150.9699899778013,-0.545712,-0.6043925,44.8283,44.8808551,2,127.96686723419431,948,957,1
0.0,True,8.5732442127009,0.9973814695593125,dest_Q139882700,dest_Q139883801,q139882700,q139883801,1,61.20757575757581,City,City,1,3.220823256638474,Q3718,Q3718,1,150.9699899778013,-17.4535894,-17.4456882,14.6821386,14.6747775,2,127.96686723419431,1465,1500,1
0.0,True,10.588412123518838,0.9993509347363688,dest_Q139883568,dest_Q139883801,q139883568,q139883801,1,61.20757575757581,City,City,1,3.220823256638474,Q3718,Q3718,1,150.9699899778013,-17.448602,-17.4456882,14.679508,14.6747775,3,517.2774252144781,1471,1500,1
0.0,True,8.5732442127009,0.9973814695593125,dest_Q139882641,dest_Q139883801,q139882641,q139883801,1,61.20757575757581,City,City,1,3.220823256638474,Q3718,Q3718,1,150.9699899778013,-17.439643,-17.4456882,14.6669879,14.6747775,2,127.96686723419431,1481,1500,1
0.0,True,8.5732442127009,0.9973814695593125,dest_Q139882534,dest_Q139883801,q139882534,q139883801,1,61.20757575757581,City,City,1,3.220823256638474,Q3718,Q3718,1,150.9699899778013,-17.45424,-17.4456882,14.6800926,14.6747775,2,127.96686723419431,1482,1500,1
0.0,True,10.588412123518838,0.9993509347363688,dest_Q139882412,dest_Q139883801,q139882412,q139883801,1,61.20757575757581,City,City,1,3.220823256638474,Q3718,Q3718,1,150.9699899778013,-17.4493568,-17.4456882,14.6704206,14.6747775,3,517.2774252144781,1483,1500,1
0.0,True,8.5732442127009,0.9973814695593125,dest_Q139882732,dest_Q139883801,q139882732,q139883801,1,61.20757575757581,City,City,1,3.220823256638474,Q3718,Q3718,1,150.9699899778013,-17.4485585,-17.4456882,14.6838801,14.6747775,2,127.96686723419431,1490,1500,1
0.0,True,8.5732442127009,0.9973814695593125,dest_Q139882583,dest_Q139883801,q139882583,q139883801,1,61.20757575757581,City,City,1,3.220823256638474,Q3718,Q3718,1,150.9699899778013,-17.4959927,-17.4456882,14.6814339,14.6747775,2,127.96686723419431,1495,1500,1
