cluster_id,n_nodes,n_edges,density,cluster_centralisation
osmacc_1087412327,20,52.0,0.2736842105263158,0.10526315789473684
osmacc_326991188,2,1.0,1.0,
osmacc_3772707832,12,66.0,1.0,0.0
osmacc_265790276,2,1.0,1.0,
osmacc_2106959182,30,82.0,0.18850574712643678,0.13054187192118227
osmacc_160095713,13,21.0,0.2692307692307692,0.2727272727272727
osmacc_2718120407,3,3.0,1.0,0.0
osmacc_1256372337,3,2.0,0.6666666666666666,1.0
osmacc_1031277462,48,166.0,0.14716312056737588,0.2238667900092507
osmacc_13830682591,2,1.0,1.0,
osmacc_11148557405,4,4.0,0.6666666666666666,0.6666666666666666
osmacc_3609378819,2,1.0,1.0,
osmacc_10102553005,36,68.0,0.10793650793650794,0.12773109243697478
osmacc_10558675009,65,190.0,0.09134615384615384,0.0992063492063492
osmacc_4760210221,3,3.0,1.0,0.0
osmacc_230617094,2,1.0,1.0,
osmacc_6557003789,2,1.0,1.0,
osmacc_1172030888,2,1.0,1.0,
osmacc_4168451291,15,44.0,0.41904761904761906,0.34065934065934067
osmacc_10154298840,2,1.0,1.0,
osmacc_10942110906,2,1.0,1.0,
osmacc_109976923,2,1.0,1.0,
osmacc_1585710048,4,6.0,1.0,0.0
osmacc_1153584928,2,1.0,1.0,
osmacc_1711813649,2,1.0,1.0,
osmacc_1926620448,3,3.0,1.0,0.0
osmacc_721534735,2,1.0,1.0,
osmacc_447022041,1,0.0,,
osmacc_240212002,1,0.0,,
osmacc_414097706,1,0.0,,
osmacc_304659535,1,0.0,,
osmacc_9702790724,1,0.0,,
osmacc_13848763597,1,0.0,,
osmacc_315008052,1,0.0,,
osmacc_523895812,1,0.0,,
osmacc_1858233462,1,0.0,,
osmacc_3086157485,1,0.0,,
osmacc_410506533,1,0.0,,
osmacc_389862307,1,0.0,,
osmacc_2030250479,1,0.0,,
osmacc_4458478901,1,0.0,,
osmacc_2083429476,1,0.0,,
osmacc_2181688240,1,0.0,,
osmacc_3145632134,1,0.0,,
osmacc_5538408600,1,0.0,,
osmacc_1662209021,1,0.0,,
osmacc_2349686284,1,0.0,,
osmacc_368663886,1,0.0,,
osmacc_1562787963,1,0.0,,
osmacc_11545514969,1,0.0,,
osmacc_4346905400,1,0.0,,
osmacc_4393341089,1,0.0,,
