truth_threshold,match_probability,total_clerical_labels,p,n,tp,tn,fp,fn,P_rate,N_rate,tp_rate,tn_rate,fp_rate,fn_rate,precision,recall,specificity,npv,accuracy,f1,f2,f0_5,p4,phi
-24.600000366568565,3.93243886117835e-08,13465455.0,73.0,13465382.0,73.0,13454147.0,11235.0,0.0,5.421279860205244e-06,0.9999945787201397,1.0,0.9991656382269735,0.0008343617730265654,0.0,0.006455606650159179,1.0,0.9991656382269735,1.0,0.9991656427502821,0.012828398207538881,0.03146551724137931,0.00805650590442556,0.025331695653534023,0.0803132637784606
-23.400000348687172,9.034371752972305e-08,13465455.0,73.0,13465382.0,73.0,13454169.0,11213.0,0.0,5.421279860205244e-06,0.9999945787201397,1.0,0.9991672720461997,0.0008327279538003452,0.0,0.0064681906787169945,1.0,0.9991672720461997,1.0,0.999167276560651,0.01285324412360243,0.031525306615995854,0.008072185240064577,0.02538013523490275,0.08039156943068294
-14.70000021904707,3.757012854526189e-05,13465455.0,73.0,13465382.0,73.0,13455514.0,9868.0,0.0,5.421279860205244e-06,0.9999945787201397,1.0,0.99926715781253,0.0007328421874700621,0.0,0.0073433256211648725,1.0,0.99926715781253,1.0,0.9992671617854725,0.01457958857599361,0.03566891429688263,0.009162336521324397,0.028740006038831346,0.0856618008353394
-13.40000019967556,9.25034269879762e-05,13465455.0,73.0,13465382.0,73.0,13456055.0,9327.0,0.0,5.421279860205244e-06,0.9999945787201397,1.0,0.9993073349125929,0.0006926650874071006,0.0,0.007765957446808511,1.0,0.9993073349125929,1.0,0.9993073386677241,0.015412224216193392,0.03765992571192736,0.009688636423964113,0.030356426237340292,0.08809414418231679
-12.500000186264515,0.00017260367204143044,13465455.0,73.0,13465382.0,73.0,13458540.0,6842.0,0.0,5.421279860205244e-06,0.9999945787201397,1.0,0.9994918822206456,0.0005081177793544959,0.0,0.010556760665220535,1.0,0.9994918822206456,1.0,0.9994918849752942,0.020892959358900974,0.05064520604967393,0.013161215879998557,0.040930541212232475,0.1027199911771518
-12.10000018030405,0.0002277393522037113,13465455.0,73.0,13465382.0,73.0,13458542.0,6840.0,0.0,5.421279860205244e-06,0.9999945787201397,1.0,0.9994920307496661,0.0005079692503339304,0.0,0.010559814841602778,1.0,0.9994920307496661,1.0,0.9994920335035096,0.020898940738620097,0.05065926439972242,0.013165013525698828,0.0409420192129096,0.10273485669612832
-11.200000166893005,0.00042489285738089063,13465455.0,73.0,13465382.0,73.0,13459644.0,5738.0,0.0,5.421279860205244e-06,0.9999945787201397,1.0,0.9995738702399977,0.0004261297600023527,0.0,0.01256238168989847,1.0,0.9995738702399977,1.0,0.9995738725501664,0.024813052345343305,0.05980665246600033,0.0156538148132264,0.04842429402992184,0.1120581477858879
-2.500000037252903,0.15022110152606716,13465455.0,73.0,13465382.0,73.0,13460291.0,5091.0,0.0,5.421279860205244e-06,0.9999945787201397,1.0,0.9996219193781506,0.000378080621849421,0.0,0.014136328427575524,1.0,0.9996219193781506,1.0,0.9996219214278315,0.02787855642543441,0.06689882697947214,0.017608181774325823,0.054244566652409794,0.11887381442408987
-2.2000000327825546,0.1787376058900962,13465455.0,73.0,13465382.0,73.0,13460317.0,5065.0,0.0,5.421279860205244e-06,0.9999945787201397,1.0,0.9996238502554179,0.00037614974458206977,0.0,0.014207862981704943,1.0,0.9996238502554179,1.0,0.9996238522946309,0.02801765496066014,0.06721915285451197,0.017696969696969697,0.05450784071490353,0.11917432063021513
-1.3000000193715096,0.2888262766358852,13465455.0,73.0,13465382.0,73.0,13463846.0,1536.0,0.0,5.421279860205244e-06,0.9999945787201397,1.0,0.9998859297122057,0.00011407028779428612,0.0,0.045369794903666875,1.0,0.9998859297122057,1.0,0.9998859303306127,0.08680142687277051,0.19200420831141504,0.05607620218159472,0.15973669020782602,0.21298971702433203
1.9000000283122063,0.7886787621992872,13465455.0,73.0,13465382.0,73.0,13465235.0,147.0,0.0,5.421279860205244e-06,0.9999945787201397,1.0,0.9999890831169884,1.0916883011562539e-05,0.0,0.33181818181818185,1.0,0.9999890831169884,1.0,0.999989083176172,0.49829351535836175,0.712890625,0.3830010493179433,0.6651468563031726,0.5760334707271009
10.600000157952309,0.9993561239419685,13465455.0,73.0,13465382.0,73.0,13465382.0,0.0,0.0,5.421279860205244e-06,0.9999945787201397,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11.900000177323818,0.9997384050389891,13465455.0,73.0,13465382.0,72.0,13465382.0,0.0,1.0,5.421279860205244e-06,0.9999945787201397,0.9863013698630136,1.0,0.0,0.0136986301369863,1.0,0.9863013698630136,1.0,0.9999999257354952,0.9999999257358924,0.993103448275862,0.989010989010989,0.997229916897507,0.9965397739496791,0.9931270294457959
