cluster_id,unique_id,festival_id,name_clean,name,festival_type,destination_id,destination_name,start_date,end_date
fest_Q4041178,fest_Q4041178,Q4041178,9th world festival of youth and students,9th World Festival of Youth and Students,Festival,Q472,Sofia,1968-07-28,
fest_Q106583346,fest_Q106583346,Q106583346,suripop x,SuriPop X,Festival,Q730,Suriname,,
fest_Q119723250,fest_Q119723250,Q119723250,spanish off-road championship,Spanish Off-road Championship,Festival,Q29,Spain,,
fest_Q139971240,fest_Q139971240,Q139971240,basque economic forum,Basque Economic Forum,Festival,Q29,Spain,,
fest_Q17996850,fest_Q17996850,Q17996850,sonorama 2014,Sonorama 2014,Festival,Q29,Spain,,
fest_Q136522389,fest_Q136522389,Q136522389,festival the sub,Festival the Sub,Festival,Q884,South Korea,,
fest_Q122167346,fest_Q122167346,Q122167346,d'aquí estant veig una estrella,D'aquí estant veig una estrella,Festival,Q29,Spain,,
fest_Q106583358,fest_Q106583358,Q106583358,suripop xii,SuriPop XII,Festival,Q730,Suriname,,
fest_Q136808353,fest_Q136808353,Q136808353,ground forces festival 2025,Ground Forces Festival 2025,Festival,Q884,South Korea,,
fest_Q106583662,fest_Q106583662,Q106583662,suripop i,SuriPop I,Festival,Q730,Suriname,,
fest_Q136439995,fest_Q136439995,Q136439995,velada marítima,Velada marítima,Festival,Q29,Spain,,
fest_Q130712739,fest_Q130712739,Q130712739,hispacon,HispaCon,Festival,Q29,Spain,,
fest_Q115166077,fest_Q115166077,Q115166077,suripop xxi,SuriPop XXI,Festival,Q730,Suriname,,
fest_Q124326031,fest_Q124326031,Q124326031,els matins de l'orgue d'alaró,Els Matins de l'Orgue d'Alaró,Festival,Q29,Spain,,
fest_Q106583675,fest_Q106583675,Q106583675,suripop viii,SuriPop VIII,Festival,Q730,Suriname,,
fest_Q112946309,fest_Q112946309,Q112946309,blue dragon series awards,Blue Dragon Series Awards,Festival,Q884,South Korea,,
fest_Q127685138,fest_Q127685138,Q127685138,suripop kerstsong competitie,SuriPop Kerstsong Competitie,Festival,Q730,Suriname,,
fest_Q106583682,fest_Q106583682,Q106583682,suripop iii,SuriPop III,Festival,Q730,Suriname,,
fest_Q106572579,fest_Q106572579,Q106572579,suripop xvi,SuriPop XVI,Festival,Q730,Suriname,,
fest_Q4563803,fest_Q4563803,Q4563803,1936 international society for contemporary music festival,1936 International Society for Contemporary Music Festival,Festival,Q29,Spain,,
fest_Q106583838,fest_Q106583838,Q106583838,suripop ii,SuriPop II,Festival,Q730,Suriname,,
fest_Q137455846,fest_Q137455846,Q137455846,clarens arts festival,Clarens arts festival,Festival,Q258,South Africa,,
fest_Q135070819,fest_Q135070819,Q135070819,nampo harvest day,NAMPO Harvest Day,Festival,Q258,South Africa,,
fest_Q131702810,fest_Q131702810,Q131702810,1997 ptuj carnival,1997 Ptuj Carnival,Festival,Q215,Slovenia,,
fest_Q123114360,fest_Q123114360,Q123114360,festival internacional de juegos en córdoba,Festival Internacional de Juegos en Córdoba,Festival,Q29,Spain,2006-01-01,
fest_Q104804867,fest_Q104804867,Q104804867,2020 festival of slovenian film,2020 Festival of Slovenian Film,Festival,Q215,Slovenia,,
fest_Q106572590,fest_Q106572590,Q106572590,suripop xvii,SuriPop XVII,Festival,Q730,Suriname,,
fest_Q104804864,fest_Q104804864,Q104804864,2011 festival of slovenian film,2011 Festival of Slovenian Film,Festival,Q215,Slovenia,,
fest_Q106583395,fest_Q106583395,Q106583395,suripop xiii,SuriPop XIII,Festival,Q730,Suriname,,
fest_Q138584056,fest_Q138584056,Q138584056,jalón ángel photography contest,Jalón Ángel Photography Contest,Festival,Q29,Spain,,
fest_Q123076620,fest_Q123076620,Q123076620,1st poetry africa festival,1st Poetry Africa Festival,Festival,Q258,South Africa,1997-05-04,1997-05-10
fest_Q106583700,fest_Q106583700,Q106583700,suripop iv,SuriPop IV,Festival,Q730,Suriname,,
fest_Q106572603,fest_Q106572603,Q106572603,suripop xviii,SuriPop XVIII,Festival,Q730,Suriname,,
fest_Q6132317,fest_Q6132317,Q6132317,sonorama 2008,Sonorama 2008,Festival,Q29,Spain,,
fest_Q131618758,fest_Q131618758,Q131618758,joy of jazz,Joy of Jazz,Festival,Q258,South Africa,,
fest_Q114933942,fest_Q114933942,Q114933942,wiki loves monuments in slovenia,Wiki Loves Monuments in Slovenia,Festival,Q215,Slovenia,,
fest_Q106572611,fest_Q106572611,Q106572611,suripop xix,SuriPop XIX,Festival,Q730,Suriname,,
fest_Q131702809,fest_Q131702809,Q131702809,1996 ptuj carnival,1996 Ptuj Carnival,Festival,Q215,Slovenia,,
fest_Q106583864,fest_Q106583864,Q106583864,suripop v,SuriPop V,Festival,Q730,Suriname,,
fest_Q106572615,fest_Q106572615,Q106572615,suripop xx,SuriPop XX,Festival,Q730,Suriname,,
fest_Q130318015,fest_Q130318015,Q130318015,goyesca bullfighting of ronda,goyesca bullfighting of Ronda,Festival,Q29,Spain,,
fest_Q130537958,fest_Q130537958,Q130537958,solemn pontifical mass of october 12th in el pilar de zaragoza,Solemn Pontifical Mass of October 12th in El Pilar de Zaragoza,Festival,Q29,Spain,,
fest_Q113605120,fest_Q113605120,Q113605120,wiki loves monuments in suriname,Wiki Loves Monuments in Suriname,Festival,Q730,Suriname,,
fest_Q134445153,fest_Q134445153,Q134445153,fotonaratón,FotoNaratón,Festival,Q29,Spain,,
fest_Q130537677,fest_Q130537677,Q130537677,rosary of dawn procession in saragossa,Rosary of Dawn procession in Saragossa,Festival,Q29,Spain,1756-10-12,
fest_Q106583728,fest_Q106583728,Q106583728,suripop xi,SuriPop XI,Festival,Q730,Suriname,,
fest_Q115557501,fest_Q115557501,Q115557501,2022 kbs song festival,2022 KBS Song Festival,Festival,Q884,South Korea,,
fest_Q124462102,fest_Q124462102,Q124462102,memefest,Memefest,Festival,Q29,Spain,,
fest_Q106584035,fest_Q106584035,Q106584035,suripop vi,SuriPop VI,Festival,Q730,Suriname,,
fest_Q124423870,fest_Q124423870,Q124423870,barcelona wine week,Barcelona wine week,Festival,Q29,Spain,,
fest_Q135056262,fest_Q135056262,Q135056262,block party music and art festival,Block Party Music and Art Festival,Festival,Q884,South Korea,,
fest_Q119589069,fest_Q119589069,Q119589069,weverse con,Weverse Con,Festival,Q884,South Korea,2020-12-31,
fest_Q130468605,fest_Q130468605,Q130468605,alcalá visual,Alcalá Visual,Festival,Q29,Spain,,
fest_Q140044454,fest_Q140044454,Q140044454,reunión invernal de arguis,Reunión Invernal de Arguis,Festival,Q29,Spain,,
fest_Q106560643,fest_Q106560643,Q106560643,suripop xiv,SuriPop XIV,Festival,Q730,Suriname,,
fest_Q106560647,fest_Q106560647,Q106560647,suripop xv,SuriPop XV,Festival,Q730,Suriname,,
fest_Q110218237,fest_Q110218237,Q110218237,swab barcelona art fair,Swab Barcelona Art Fair,Festival,Q29,Spain,,
fest_Q137886202,fest_Q137886202,Q137886202,icon talents,Icon Talents,Festival,Q29,Spain,,
fest_Q133804045,fest_Q133804045,Q133804045,dance of sticks herrín de campos,"dance of sticks, Herrín de Campos",Festival,Q29,Spain,,
fest_Q138309745,fest_Q138309745,Q138309745,fair of the traditions and the campo de cartagena,Fair of the Traditions and the Campo de Cartagena,Festival,Q29,Spain,,
fest_Q55122032,fest_Q55122032,Q55122032,statement festival,Statement Festival,Festival,Q34,Sweden,,
fest_Q105448800,fest_Q105448800,Q105448800,eskilstuna pride,Eskilstuna Pride,Festival,Q34,Sweden,,
fest_Q4006251,fest_Q4006251,Q4006251,uppcon,UppCon,Festival,Q34,Sweden,,
fest_Q18335094,fest_Q18335094,Q18335094,world aids day-galan,World Aids Day-galan,Festival,Q34,Sweden,,
fest_Q10680536,fest_Q10680536,Q10680536,stockholms kulturfestival,Stockholms Kulturfestival,Festival,Q34,Sweden,2006-01-01,
fest_Q5744239,fest_Q5744239,Q5744239,herräng dance camp,Herräng Dance Camp,Festival,Q34,Sweden,,
fest_Q10552942,fest_Q10552942,Q10552942,ladies night,Ladies Night,Festival,Q34,Sweden,,
fest_Q18624661,fest_Q18624661,Q18624661,tartu hanseatic days,Tartu Hanseatic Days,Festival,Q13972,Tartu,,
fest_Q11353805,fest_Q11353805,Q11353805,wan an exercise,Wan An Exercise,Festival,Q865,Taiwan,,
fest_Q13416957,fest_Q13416957,Q13416957,asrlar sadosi festival of traditional culture,"""Asrlar Sadosi"" Festival of Traditional Culture",Festival,Q269,Tashkent,,
fest_Q16515160,fest_Q16515160,Q16515160,tbilisi fashion week,Tbilisi Fashion Week,Festival,Q994,Tbilisi,,
fest_Q10710243,fest_Q10710243,Q10710243,uppsala international guitar festival,Uppsala International Guitar Festival,Festival,Q34,Sweden,,
fest_Q29380903,fest_Q29380903,Q29380903,sweden international improv festival swimp,Sweden International Improv Festival (SWIMP),Festival,Q34,Sweden,,
fest_Q6349666,fest_Q6349666,Q6349666,kaktusfestivalen,Kaktusfestivalen,Festival,Q34,Sweden,,
